"","X10559","X10896","X11038","X11102","X11135","X11354","X11385","X11422","X11491","X11573","X13036","X3317","X4565","X4824","X4832","X4837","X5924","X6077","X6427","X6490","X6989","X7035","X711","X8244","X8256","X8863","X8948","X9387"
"X13036",0.0504594399569826,0.39746644116519,0.0917197655696134,0.0840280473179988,0.121230354785966,0.0742941653219059,0.10185225179714,0.154826784799135,0.058408563720506,0.106544237544443,0,0.0909568492175102,0.0687498976551054,0.102744364526447,0.163999490191154,0.0858161029551573,0.139668882109123,0.0308838620111877,0.116488863924759,0.169250110446546,0.148971616195459,0.167091187300861,0.113907424730081,0.130456562032061,0.198416170772677,0.262597508269929,0.203989088983776,0.0507101591989645
"X3317",0.190640225662396,0.494187912191781,0.0692572031464656,0.163692346763851,0.115087583588138,0.191325021731235,0.175902364311257,0.160127899473945,0.21283123138755,0.204047498250841,0.0909568492175102,0,0.191980861624225,0.109371246760705,0.150303822476928,0.159375729971985,0.105162041774968,0.106681667007054,0.0929515681910313,0.0646017181603294,0.236474551367182,0.275796256815644,0.1573501102074,0.114073012245621,0.235634528141826,0.403733668463678,0.220019071988956,0.110958095395313
"X4565",0.0796861938961594,0.43730559743943,0.160339927244953,0.136547836826137,0.220187920649599,0.11704577424454,0.0681320491915956,0.253440540133476,0.102963005849833,0.0985186001360285,0.0687498976551054,0.191980861624225,0,0.203367045636609,0.159402499300494,0.0485370177062079,0.216642104558787,0.0815498751743585,0.194503782695813,0.260308405531398,0.192161130636894,0.116756231126384,0.151557365535413,0.231269163547353,0.284002414962825,0.315415164673739,0.284036122215164,0.0889777394135723
"X4824",0.0923807480224406,0.181685605172541,0.146281275837198,0.0589659883989413,0.0381504845365618,0.0936505322454515,0.262082130739245,0.0531899458503625,0.253849301970581,0.151827748315631,0.102744364526447,0.109371246760705,0.203367045636609,0,0.280223722586323,0.247949776629176,0.0774882990288092,0.17511997766173,0.10326155067709,0.190320126343093,0.120948545126275,0.387268464868456,0.111922077028415,0.0145088366944603,0.0295427428079851,0.113368289749993,0.0341871767721409,0.124415591358345
"X4832",0.23237147167862,0.640233004146042,0.196940152656222,0.314272195161322,0.292334571170874,0.310741559949803,0.0322110390709659,0.332508752036439,0.293567583841867,0.133829487206121,0.163999490191154,0.150303822476928,0.159402499300494,0.280223722586323,0,0.0487309742140025,0.283695421907266,0.129937964714919,0.256809696879238,0.182356178322862,0.383056636832532,0.170164734349069,0.300696809601772,0.302084113112865,0.39301423140182,0.491429288086002,0.397642403023839,0.23915529170611
"X4837",0.151839232040155,0.526614008785397,0.158481036642055,0.215120695460516,0.265741301068296,0.203788299337005,0.0191848589319869,0.299121704592945,0.183481311799508,0.0985466557437203,0.0858161029551573,0.159375729971985,0.0485370177062079,0.247949776629176,0.0487309742140025,0,0.225347497863612,0.078557649832412,0.194647742684224,0.196382288798425,0.279062369660408,0.102485251821499,0.188042958993395,0.278150907333965,0.339880831176522,0.400393382748792,0.340550033523048,0.125275953025634
"X5924",0.142930610073448,0.22787537527658,0.0612174888339648,0.101691276566419,0.0977651009381459,0.131026148407275,0.242967056030309,0.0226805018623477,0.291754315035832,0.22167983138404,0.139668882109123,0.105162041774968,0.216642104558787,0.0774882990288092,0.283695421907266,0.225347497863612,0,0.151732987431655,0.0406603818901257,0.122307936645301,0.0556458657803754,0.413035481470732,0.100973164921399,0.0800146008638925,0.168901505572837,0.248372950456652,0.084155059602038,0.140433860440405
"X6077",0.101524886141989,0.447012783628034,0.103909654884572,0.136850799966524,0.193961486087404,0.125161053104323,0.0977373282086453,0.226511124033807,0.223419448502042,0.178765434611392,0.0308838620111877,0.106681667007054,0.0815498751743585,0.17511997766173,0.129937964714919,0.078557649832412,0.151732987431655,0,0.138518273880737,0.142381452399782,0.200559981690192,0.2815355559293,0.109731832713456,0.207079093480075,0.265636411725292,0.324763999365241,0.26567650381178,0.0665670706011969
"X6427",0.163302992568624,0.331499886540803,0.049420057566669,0.105372111568845,0.148343031980693,0.132890481072267,0.213246761038187,0.0503266347597536,0.152521007199035,0.19580031509489,0.116488863924759,0.0929515681910313,0.194503782695813,0.10326155067709,0.256809696879238,0.194647742684224,0.0406603818901257,0.138518273880737,0,0.0927771827695919,0.0584400395056421,0.289937006695594,0.105771248095854,0.129472638351262,0.182850880049122,0.366957886647045,0.204745784800339,0.105280333575975
"X6490",0.27098795112422,0.482343659227798,0.0419381620106991,0.22554463380825,0.225654145676103,0.255657512322252,0.213719889734317,0.179384630771141,0.277575434720881,0.291229524433035,0.169250110446546,0.0646017181603294,0.260308405531398,0.190320126343093,0.182356178322862,0.196382288798425,0.122307936645301,0.142381452399782,0.0927771827695919,0,0.223312892018256,0.349683593072781,0.174108929020494,0.207202004407135,0.282157948740288,0.479239073661263,0.303608890454768,0.175033905691698
"X6989",0.136216002296981,0.0763473836438231,0.142576398358801,0.0602279601166845,0.176173270379524,0.0765709029424426,0.299672095191866,0.0659825209343016,0.232506541571139,0.245236464071817,0.148971616195459,0.236474551367182,0.192161130636894,0.120948545126275,0.383056636832532,0.279062369660408,0.0556458657803754,0.200559981690192,0.0584400395056421,0.223312892018256,0,0.402901827688759,0.052833735715663,0.153434411525966,0.0847232894265048,0.135587101913893,0.111087256327524,0.103347088278
